argsAntes	argsBefore
caso	case
casos	cases
código	code
contém	contains
contémTodos	containsAll
feito	done
Example_consultaDuasPalavras	Example_2WordQuery
Example_consultaComHífenECampo10	Example_queryWithHiphenAndField10
ExampleListar	ExampleList
ExampleListar_doisResultados	ExampleList_2Results
ExampleListar_duasPalavras	ExampleList_2Words
existia	existed
baixarUCD	fetchUCD
campos	fields
arquivo	file
obterCaminhoUCD	getUCDPath
obtido	got
recebido	got
linha	line
linhaLetraA	lineLetterA
linhas3Da43	lines3Dto43
Listar	List
nome	name
nomeA	nameA
nomeVar	nameVar
procurado	needle
procurados	needles
abrirUCD	openUCD
AnalisarLinha	ParseLine
caminho	path
caminhoAntes	pathBefore
progresso	progress
consulta	query
resposta	response
restaurar	restore
runa	rune
varredor	scanner
separador	separator
fatia	slice
separar	split
termos	terms
TestContém	TestContains
TestContémTodos	TestContainsAll
TestBaixarUCD	TestFetchUCD
TestObterCaminhoUCD_default	TestGetUCDPath_default
TestObterCaminhoUCD_setado	TestGetUCDPath_isSet
TestAbrirUCD_local	TestOpenUCD_local
TestAbrirUCD_remoto	TestOpenUCD_remote
TestAnalisarLinha	TestParseLine
TestAnalisarLinhaComHífenECampo10	TestParseLineWithHyphenAndField10
TestSeparar	TestSplit
texto	text
URLUCD	UCD_URL
caminhoUCD	ucdPath
sufixoCaminhoUCD	ucdPathSuffix
usuário	user
valor	value
esperado	want
palavra	word
palavras	words
palavrasA	wordsA
palavrasNome	wordsName
